,dataset,num_kernels,accuracy_mean,accuracy_std
137,ElectricDevices,10000,0.7294903384774998,0.002660563327400126
138,FaceAll,100,0.9047337278106509,0.019957589570492592
139,FaceAll,500,0.9356804733727809,0.017620920275157027
140,FaceAll,1000,0.9391715976331362,0.009392454399296786
141,FaceAll,2500,0.9434319526627217,0.004135243836604982
142,FaceAll,5000,0.9440828402366863,0.0030431694368340295
143,FaceAll,10000,0.9456213017751478,0.00440778758969554
144,FaceFour,100,0.9522727272727274,0.0122390109253057
145,FaceFour,500,0.9704545454545453,0.0075377836144440834
146,FaceFour,1000,0.9715909090909092,0.005681818181818177
147,FaceFour,2500,0.975,0.004545454545454541
148,FaceFour,5000,0.9761363636363635,0.003409090909090906
149,FaceFour,10000,0.975,0.004545454545454541
150,FacesUCR,100,0.9145365853658538,0.007871060859133647
151,FacesUCR,500,0.954048780487805,0.003226894713861706
152,FacesUCR,1000,0.958731707317073,0.002139679238971837
153,FacesUCR,2500,0.9614146341463414,0.0016678361948564658
154,FacesUCR,5000,0.9615121951219512,0.0007697431140516836
155,FacesUCR,10000,0.9619024390243902,0.000738182729288857
156,FiftyWords,100,0.7162637362637363,0.024639901448432783
157,FiftyWords,500,0.7914285714285715,0.009399298804546414
158,FiftyWords,1000,0.8107692307692307,0.005149615170927446
159,FiftyWords,2500,0.8232967032967032,0.004193139346887684
160,FiftyWords,5000,0.8312087912087913,0.004146804893211698
161,FiftyWords,10000,0.8298901098901098,0.0028145601043661
162,Fish,100,0.9605714285714285,0.0053908463611752055
163,Fish,500,0.9800000000000001,0.005855400437691205
164,Fish,1000,0.9771428571428572,0.009214008855198342
165,Fish,2500,0.9822857142857144,0.004000000000000013
166,Fish,5000,0.9817142857142857,0.0034285714285714475
167,Fish,10000,0.9817142857142857,0.004276179870598797
168,FordA,100,0.9192424242424243,0.00624896685675798
169,FordA,500,0.9347727272727273,0.0032221470178995034
170,FordA,1000,0.937348484848485,0.003161006976518947
171,FordA,2500,0.9386363636363637,0.004285495643554842
172,FordA,5000,0.9365151515151515,0.003367592541044381
173,FordA,10000,0.9395454545454545,0.003962635403218805
174,FordB,100,0.7697530864197532,0.011372106139545035
175,FordB,500,0.7930864197530865,0.008322123232766786
176,FordB,1000,0.791358024691358,0.0050602226004738725
177,FordB,2500,0.7966666666666667,0.0060493827160493785
178,FordB,5000,0.7979012345679013,0.00780906893870048
179,FordB,10000,0.8041975308641977,0.009142473373616594
180,GunPoint,100,0.9946666666666667,0.005811865258054223
181,GunPoint,500,0.998,0.0030550504633039127
182,GunPoint,1000,0.9986666666666666,0.002666666666666684
183,GunPoint,2500,1.0,0.0
184,GunPoint,5000,0.9993333333333332,0.002000000000000013
185,GunPoint,10000,1.0,0.0
186,Ham,100,0.7361904761904763,0.03435178818451702
187,Ham,500,0.7190476190476189,0.023035022137995853
188,Ham,1000,0.7266666666666667,0.022956134844178955
189,Ham,2500,0.7247619047619048,0.030845970934669797
190,Ham,5000,0.7285714285714286,0.020537008240807463
191,Ham,10000,0.7304761904761905,0.015386185163241424
192,HandOutlines,100,0.9237837837837839,0.007231939546086296
193,HandOutlines,500,0.9351351351351352,0.004522486629913902
194,HandOutlines,1000,0.9416216216216217,0.0032432432432432452
195,HandOutlines,2500,0.9416216216216217,0.004221756581571187
196,HandOutlines,5000,0.9418918918918919,0.002769446152962058
197,HandOutlines,10000,0.9429729729729729,0.0018918918918918726
198,Haptics,100,0.5077922077922078,0.017069401854668712
199,Haptics,500,0.5207792207792207,0.012422809395914933
200,Haptics,1000,0.5224025974025973,0.010001897273213876
201,Haptics,2500,0.525,0.007959513423461856
202,Haptics,5000,0.5337662337662338,0.005071590698640683
203,Haptics,10000,0.5344155844155843,0.0075726647985004105
204,Herring,100,0.6578125,0.03727143888086426
205,Herring,500,0.6703125,0.02465583412196797
206,Herring,1000,0.6859375,0.01297909978580949
207,Herring,2500,0.653125,0.025958199571618986
208,Herring,5000,0.6359375,0.017187499999999998
209,Herring,10000,0.6234375,0.02465583412196797
210,InlineSkate,100,0.3976363636363637,0.015809820151511545
