,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
264,Lightning2,no_selection (baseline),0.7868852459016393,,20000.0,1.0,0.015604600019287318
265,Lightning2,threshold=0.0,0.7868852459016393,,19996.0,0.9998,0.018046599987428635
266,Lightning2,threshold=0.001,0.7704918032786885,,18527.0,0.92635,0.01743119995808229
267,Lightning2,threshold=0.01,0.7049180327868853,,11331.0,0.56655,0.010647499992046505
268,Lightning7,no_selection (baseline),0.8356164383561644,,20000.0,1.0,0.018308600003365427
269,Lightning7,threshold=0.0,0.8356164383561644,,19999.0,0.99995,0.020977500011213124
270,Lightning7,threshold=0.001,0.821917808219178,,19355.0,0.96775,0.020137599960435182
271,Lightning7,threshold=0.01,0.8082191780821918,,12148.0,0.6074,0.011171900026965886
272,Mallat,no_selection (baseline),0.9577825159914712,,20000.0,1.0,0.012964299996383488
273,Mallat,threshold=0.0,0.9577825159914712,,19970.0,0.9985,0.01502799999434501
274,Mallat,threshold=0.001,0.9458422174840085,,11971.0,0.59855,0.00916680000955239
275,Mallat,threshold=0.01,0.9368869936034115,,10087.0,0.50435,0.008686400018632412
276,Meat,no_selection (baseline),0.95,,20000.0,1.0,0.015291200019419193
277,Meat,threshold=0.0,0.95,,19214.0,0.9607,0.01826700003584847
278,Meat,threshold=0.001,0.9333333333333333,,7166.0,0.3583,0.008140599995385855
279,Meat,threshold=0.01,0.9166666666666666,,899.0,0.04495,0.003099900030065328
280,MedicalImages,no_selection (baseline),0.7921052631578948,,20000.0,1.0,0.15081029996508732
281,MedicalImages,threshold=0.0,0.7921052631578948,,20000.0,1.0,0.1687398999929428
282,MedicalImages,threshold=0.001,0.7934210526315789,,19608.0,0.9804,0.16701480001211166
283,MedicalImages,threshold=0.01,0.7842105263157895,,14021.0,0.70105,0.11794919997919351
284,MelbournePedestrian,no_selection (baseline),0.939319393193932,,20000.0,1.0,0.5142940999940038
285,MelbournePedestrian,threshold=0.0,0.939319393193932,,20000.0,1.0,0.5798833000008017
286,MelbournePedestrian,threshold=0.001,0.939729397293973,,19997.0,0.99985,0.6166976999957114
287,MelbournePedestrian,threshold=0.01,0.9270192701927019,,13943.0,0.69715,0.5006042999448255
288,MiddlePhalanxOutlineAgeGroup,no_selection (baseline),0.564935064935065,,20000.0,1.0,0.13855380000313744
289,MiddlePhalanxOutlineAgeGroup,threshold=0.0,0.564935064935065,,19797.0,0.98985,0.15392720000818372
290,MiddlePhalanxOutlineAgeGroup,threshold=0.001,0.5584415584415584,,15181.0,0.75905,0.12073259998578578
291,MiddlePhalanxOutlineAgeGroup,threshold=0.01,0.538961038961039,,9538.0,0.4769,0.0879856999963522
292,MiddlePhalanxOutlineCorrect,no_selection (baseline),0.8247422680412371,,20000.0,1.0,0.21981080004479736
293,MiddlePhalanxOutlineCorrect,threshold=0.0,0.8247422680412371,,19864.0,0.9932,0.26926689996616915
294,MiddlePhalanxOutlineCorrect,threshold=0.001,0.8178694158075601,,15268.0,0.7634,0.20831150002777576
295,MiddlePhalanxOutlineCorrect,threshold=0.01,0.8350515463917526,,9667.0,0.48335,0.1616867000120692
296,MiddlePhalanxTW,no_selection (baseline),0.577922077922078,,20000.0,1.0,0.1605445999884978
297,MiddlePhalanxTW,threshold=0.0,0.577922077922078,,19831.0,0.99155,0.14667950000148267
298,MiddlePhalanxTW,threshold=0.001,0.5844155844155844,,15515.0,0.77575,0.12003650004044175
