,dataset,feature_type,accuracy_mean,accuracy_std
166,ProximalPhalanxOutlineAgeGroup,ppv_only,0.8541463414634146,0.008292682926829276
167,ProximalPhalanxOutlineAgeGroup,max_only,0.8541463414634146,0.005092832443371005
168,ProximalPhalanxOutlineCorrect,both (default),0.9037800687285223,0.0048598404205260825
169,ProximalPhalanxOutlineCorrect,ppv_only,0.9003436426116839,0.0072083082348463985
170,ProximalPhalanxOutlineCorrect,max_only,0.888659793814433,0.0035044807653558684
171,ProximalPhalanxTW,both (default),0.8019512195121952,0.006616907300610024
172,ProximalPhalanxTW,ppv_only,0.8136585365853659,0.010185664886741965
173,ProximalPhalanxTW,max_only,0.7946341463414635,0.013702021370915269
174,RefrigerationDevices,both (default),0.5344,0.0076547733836839155
175,RefrigerationDevices,ppv_only,0.5261333333333333,0.014753681273197932
176,RefrigerationDevices,max_only,0.5077333333333334,0.007838367176906154
177,ScreenType,both (default),0.48453333333333326,0.010331397668165612
178,ScreenType,ppv_only,0.5034666666666666,0.007801994047108161
179,ScreenType,max_only,0.4141333333333333,0.010122801544587907
180,ShapeletSim,both (default),1.0,0.0
181,ShapeletSim,ppv_only,1.0,0.0
182,ShapeletSim,max_only,0.668888888888889,0.017603310575283162
183,ShapesAll,both (default),0.9096666666666667,0.0017950549357115058
184,ShapesAll,ppv_only,0.9076666666666668,0.006155395104206482
185,ShapesAll,max_only,0.8768333333333335,0.002409472049133499
186,SmallKitchenAppliances,both (default),0.8181333333333333,0.005438954147832309
187,SmallKitchenAppliances,ppv_only,0.8149333333333333,0.0053599336645977925
188,SmallKitchenAppliances,max_only,0.6909333333333334,0.0049817444512718495
189,SonyAIBORobotSurface1,both (default),0.9232945091514143,0.0027289882640360585
190,SonyAIBORobotSurface1,ppv_only,0.9068219633943426,0.0059992533701563825
191,SonyAIBORobotSurface1,max_only,0.9410981697171381,0.0022570149694260437
192,SonyAIBORobotSurface2,both (default),0.9196222455403987,0.0017049398540684333
193,SonyAIBORobotSurface2,ppv_only,0.9254984260230849,0.0036045255062576364
194,SonyAIBORobotSurface2,max_only,0.9115424973767052,0.0017589773991857605
195,StarLightCurves,both (default),0.9808644973288004,0.00037305224613252746
196,StarLightCurves,ppv_only,0.9810709082078679,0.00042910629060398484
197,StarLightCurves,max_only,0.9693540553666828,0.0011898980087420993
198,Strawberry,both (default),0.9813513513513513,0.0008108108108108359
199,Strawberry,ppv_only,0.981081081081081,0.002417370786486272
200,Strawberry,max_only,0.9716216216216216,0.002769446152962074
201,SwedishLeaf,both (default),0.9656,0.0016395121225535503
202,SwedishLeaf,ppv_only,0.9640000000000001,0.003298484500494142
203,SwedishLeaf,max_only,0.9652799999999999,0.002483867951401632
204,Symbols,both (default),0.9746733668341708,0.0008761605916664902
205,Symbols,ppv_only,0.9728643216080402,0.0016817286965509037
206,Symbols,max_only,0.962713567839196,0.0009481388072418702
