,dataset,variant,accuracy_mean,accuracy_std
166,ProximalPhalanxOutlineAgeGroup,no_padding,0.8614634146341464,0.007925891126474115
167,ProximalPhalanxOutlineAgeGroup,always_padding,0.853658536585366,0.003778520337763337
168,ProximalPhalanxOutlineCorrect,random_padding (default),0.90446735395189,0.005498281786941562
169,ProximalPhalanxOutlineCorrect,no_padding,0.8993127147766323,0.007843788460833905
170,ProximalPhalanxOutlineCorrect,always_padding,0.9027491408934708,0.00769176264109942
171,ProximalPhalanxTW,random_padding (default),0.8004878048780488,0.011005379680661941
172,ProximalPhalanxTW,no_padding,0.8034146341463415,0.006915827745735513
173,ProximalPhalanxTW,always_padding,0.8014634146341464,0.0075727681445170916
174,RefrigerationDevices,random_padding (default),0.5357333333333333,0.010562827904180476
175,RefrigerationDevices,no_padding,0.5381333333333334,0.007801994047108164
176,RefrigerationDevices,always_padding,0.5416,0.010959318713618407
177,ScreenType,random_padding (default),0.4850666666666667,0.014821006113696274
178,ScreenType,no_padding,0.4674666666666667,0.013066666666666667
179,ScreenType,always_padding,0.5013333333333334,0.019704483415371916
180,ShapeletSim,random_padding (default),1.0,0.0
181,ShapeletSim,no_padding,1.0,0.0
182,ShapeletSim,always_padding,1.0,0.0
183,ShapesAll,random_padding (default),0.9073333333333334,0.0032659863237109016
184,ShapesAll,no_padding,0.9045000000000002,0.0030776975521032367
185,ShapesAll,always_padding,0.9036666666666665,0.0028674417556808604
186,SmallKitchenAppliances,random_padding (default),0.8162666666666667,0.007100547709703659
187,SmallKitchenAppliances,no_padding,0.8098666666666668,0.003780652501002079
188,SmallKitchenAppliances,always_padding,0.8176,0.004945929864264387
189,SonyAIBORobotSurface1,random_padding (default),0.9212978369384357,0.0023589761861493863
190,SonyAIBORobotSurface1,no_padding,0.9041597337770382,0.0029950083194675513
191,SonyAIBORobotSurface1,always_padding,0.9470881863560733,0.0028626706379509545
192,SonyAIBORobotSurface2,random_padding (default),0.9192025183630641,0.0038696933713716205
193,SonyAIBORobotSurface2,no_padding,0.9158447009443862,0.002646279163256759
194,SonyAIBORobotSurface2,always_padding,0.9140608604407134,0.0026316760134280125
195,StarLightCurves,random_padding (default),0.9808887809616319,0.0005569375882069026
196,StarLightCurves,no_padding,0.9808037882467217,0.0003093185819052175
197,StarLightCurves,always_padding,0.9806216610004856,0.0002831933897447905
198,Strawberry,random_padding (default),0.9813513513513513,0.0008108108108108359
199,Strawberry,no_padding,0.981081081081081,0.0
200,Strawberry,always_padding,0.981081081081081,0.0
201,SwedishLeaf,random_padding (default),0.96608,0.0026581196361337945
202,SwedishLeaf,no_padding,0.96448,0.0019983993594874933
203,SwedishLeaf,always_padding,0.9649599999999999,0.002812543332999504
204,Symbols,random_padding (default),0.9746733668341708,0.0014770792418793213
205,Symbols,no_padding,0.9705527638190954,0.0007849497161715438
206,Symbols,always_padding,0.9741708542713567,0.0011055276381909838
207,SyntheticControl,random_padding (default),0.9993333333333332,0.0013333333333333196
208,SyntheticControl,no_padding,0.9956666666666665,0.001527525231651982
209,SyntheticControl,always_padding,0.9973333333333333,0.0020000000000000018
210,ToeSegmentation1,random_padding (default),0.9557017543859649,0.0030701754385965008
211,ToeSegmentation1,no_padding,0.9535087719298246,0.002909319991539834
212,ToeSegmentation1,always_padding,0.9600877192982458,0.0030701754385965008
213,ToeSegmentation2,random_padding (default),0.923846153846154,0.007256908563120478
214,ToeSegmentation2,no_padding,0.9015384615384615,0.005756395979652197
215,ToeSegmentation2,always_padding,0.9415384615384615,0.006153846153846176
216,Trace,random_padding (default),1.0,0.0
217,Trace,no_padding,1.0,0.0
218,Trace,always_padding,1.0,0.0
219,TwoLeadECG,random_padding (default),0.9991220368744512,0.0
220,TwoLeadECG,no_padding,0.9991220368744512,0.0
221,TwoLeadECG,always_padding,0.9991220368744512,0.0
222,TwoPatterns,random_padding (default),1.0,0.0
223,TwoPatterns,no_padding,1.0,0.0
224,TwoPatterns,always_padding,1.0,0.0
225,UWaveGestureLibraryAll,random_padding (default),0.9754606365159129,0.0011198308833127758
226,UWaveGestureLibraryAll,no_padding,0.9759073143495254,0.0005862646566164081
227,UWaveGestureLibraryAll,always_padding,0.9746510329424902,0.0011698674952404847
228,UWaveGestureLibraryX,random_padding (default),0.8548017867113344,0.001561626607587601
229,UWaveGestureLibraryX,no_padding,0.848324958123953,0.0017256906153573994
230,UWaveGestureLibraryX,always_padding,0.8522054718034617,0.0020255005189522297
231,UWaveGestureLibraryY,random_padding (default),0.7788107202680068,0.0016752745045982684
232,UWaveGestureLibraryY,no_padding,0.773031825795645,0.002047696350741734
233,UWaveGestureLibraryY,always_padding,0.7785036292573981,0.0010898504352843622
234,UWaveGestureLibraryZ,random_padding (default),0.793718592964824,0.001409481358052986
235,UWaveGestureLibraryZ,no_padding,0.792462311557789,0.0016288053764170651
236,UWaveGestureLibraryZ,always_padding,0.7905360134003351,0.0022335636447760637
237,Wafer,random_padding (default),0.9983127839065542,0.00028286170950944184
