,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
189,GestureMidAirD2,0,threshold=0.0,0.6615384615384615,19999,20000,0.99995,0.06571049999911338
190,GestureMidAirD2,0,threshold=0.001,0.6615384615384615,19990,20000,0.9995,0.06587120000040159
191,GestureMidAirD2,0,threshold=0.01,0.6384615384615384,17423,20000,0.87115,0.057070499984547496
192,GestureMidAirD3,0,no_selection (baseline),0.4846153846153846,20000,20000,1.0,0.06613409996498376
193,GestureMidAirD3,0,threshold=0.0,0.4846153846153846,19907,20000,0.99535,0.06524270004592836
194,GestureMidAirD3,0,threshold=0.001,0.4846153846153846,19858,20000,0.9929,0.06761379999807104
195,GestureMidAirD3,0,threshold=0.01,0.4846153846153846,17394,20000,0.8697,0.057527099968865514
196,GesturePebbleZ1,0,no_selection (baseline),0.8953488372093024,20000,20000,1.0,0.0364877000101842
197,GesturePebbleZ1,0,threshold=0.0,0.8953488372093024,19998,20000,0.9999,0.054873700020834804
198,GesturePebbleZ1,0,threshold=0.001,0.8953488372093024,19973,20000,0.99865,0.03516149998176843
199,GesturePebbleZ1,0,threshold=0.01,0.8953488372093024,16033,20000,0.80165,0.02989900001557544
200,GesturePebbleZ2,0,no_selection (baseline),0.7911392405063291,20000,20000,1.0,0.041094299987889826
201,GesturePebbleZ2,0,threshold=0.0,0.7911392405063291,20000,20000,1.0,0.05264000000897795
202,GesturePebbleZ2,0,threshold=0.001,0.7974683544303798,19971,20000,0.99855,0.04007879999699071
203,GesturePebbleZ2,0,threshold=0.01,0.810126582278481,16420,20000,0.821,0.03338199999416247
204,GunPoint,0,no_selection (baseline),1.0,20000,20000,1.0,0.013290699978824705
205,GunPoint,0,threshold=0.0,1.0,19958,20000,0.9979,0.015162500028964132
206,GunPoint,0,threshold=0.001,1.0,15953,20000,0.79765,0.012327599979471415
207,GunPoint,0,threshold=0.01,1.0,11328,20000,0.5664,0.008340700005646795
208,GunPointAgeSpan,0,no_selection (baseline),0.9936708860759493,20000,20000,1.0,0.03697199997259304
209,GunPointAgeSpan,0,threshold=0.0,0.9936708860759493,20000,20000,1.0,0.03729220002423972
210,GunPointAgeSpan,0,threshold=0.001,0.990506329113924,19987,20000,0.99935,0.0366177000105381
211,GunPointAgeSpan,0,threshold=0.01,0.9936708860759493,12029,20000,0.60145,0.024607499944977462
212,GunPointMaleVersusFemale,0,no_selection (baseline),0.9936708860759493,20000,20000,1.0,0.03935750003438443
213,GunPointMaleVersusFemale,0,threshold=0.0,0.9936708860759493,19997,20000,0.99985,0.0446094999788329
214,GunPointMaleVersusFemale,0,threshold=0.001,0.9936708860759493,19982,20000,0.9991,0.03570120001677424
215,GunPointMaleVersusFemale,0,threshold=0.01,0.9936708860759493,11920,20000,0.596,0.024495100020430982
216,GunPointOldVersusYoung,0,no_selection (baseline),1.0,20000,20000,1.0,0.037827800028026104
217,GunPointOldVersusYoung,0,threshold=0.0,1.0,19999,20000,0.99995,0.03646650002337992
218,GunPointOldVersusYoung,0,threshold=0.001,1.0,19988,20000,0.9994,0.03735110000707209
219,GunPointOldVersusYoung,0,threshold=0.01,1.0,11798,20000,0.5899,0.023968699970282614
220,Ham,0,no_selection (baseline),0.7428571428571429,20000,20000,1.0,0.03334670001640916
221,Ham,0,threshold=0.0,0.7428571428571429,20000,20000,1.0,0.03524140000808984
222,Ham,0,threshold=0.001,0.7428571428571429,17591,20000,0.87955,0.027203500038012862
223,Ham,0,threshold=0.01,0.6952380952380952,10225,20000,0.51125,0.017161099996883422
224,HandOutlines,0,no_selection (baseline),0.9459459459459459,20000,20000,1.0,0.39736549998633564
225,HandOutlines,0,threshold=0.0,0.9459459459459459,18730,20000,0.9365,0.4317373000085354
226,HandOutlines,0,threshold=0.001,0.9513513513513514,11265,20000,0.56325,0.35902070003794506
227,HandOutlines,0,threshold=0.01,0.9513513513513514,7529,20000,0.37645,0.30111540004145354
228,Haptics,0,no_selection (baseline),0.538961038961039,20000,20000,1.0,0.04436090000672266
229,Haptics,0,threshold=0.0,0.538961038961039,20000,20000,1.0,0.042924400011543185
230,Haptics,0,threshold=0.001,0.538961038961039,15976,20000,0.7988,0.03576249995967373
231,Haptics,0,threshold=0.01,0.5292207792207793,10383,20000,0.51915,0.025294699997175485
232,Herring,0,no_selection (baseline),0.625,20000,20000,1.0,0.01618790003703907
233,Herring,0,threshold=0.0,0.625,18855,20000,0.94275,0.01774239999940619
234,Herring,0,threshold=0.001,0.609375,10732,20000,0.5366,0.010911299963481724
235,Herring,0,threshold=0.01,0.578125,7657,20000,0.38285,0.008622800000011921
236,HouseTwenty,0,no_selection (baseline),0.9663865546218487,20000,20000,1.0,0.01079339999705553
237,HouseTwenty,0,threshold=0.0,0.9663865546218487,20000,20000,1.0,0.013222299981862307
238,HouseTwenty,0,threshold=0.001,0.9411764705882353,14627,20000,0.73135,0.009948100021574646
239,HouseTwenty,0,threshold=0.01,0.8739495798319328,10640,20000,0.532,0.008232399995904416
240,InlineSkate,0,no_selection (baseline),0.48545454545454547,20000,20000,1.0,0.031046100019011647
241,InlineSkate,0,threshold=0.0,0.48545454545454547,19340,20000,0.967,0.032120399991981685
